time,beat_pulses,rate_analogue
0.0,4.993978500366211,0
0.004,4.993978500366211,0
0.008,4.993978532155355,0
0.012,4.993978977203369,0
0.016,4.993978977203369,0
0.02,4.993979454040527,0
0.024,4.993979454040527,0
0.028,4.993979454040527,0
0.032,4.993979454040527,0
0.036,4.993979454040527,0
0.04,4.9939799308776855,0
0.044,4.9939799308776855,0
0.048,4.9939799308776855,0
0.052,4.9939799308776855,0
0.056,4.9939799308776855,0
0.06,4.993980407714844,0
0.064,4.993980407714844,0
0.068,4.993980407714844,0
0.072,4.993980884552002,0
0.076,4.993980884552002,0
0.08,4.993980884552002,0
0.084,4.993980884552002,0
0.088,4.993980884552002,0
0.092,4.993980884552002,0
0.096,4.993980884552002,0
0.1,4.993980884552002,0
0.104,4.99398136138916,0
0.108,4.99398136138916,0
0.112,4.99398136138916,0
0.116,4.99398136138916,0
0.12,4.99398136138916,0
0.124,4.99398136138916,0
0.128,4.993981838226318,0
0.132,4.993981838226318,0
0.136,4.993981838226318,0
0.14,4.993981838226318,0
0.144,4.993981838226318,0
0.148,4.993981838226318,0
0.152,4.993981838226318,0
0.156,4.993981838226318,0
0.16,4.993981838226318,0
0.164,4.993981838226318,0
0.168,4.993981838226318,0
0.172,4.993981838226318,0
0.176,4.993982315063477,0
0.18,4.993982315063477,0
0.184,4.993982315063477,0
0.188,4.993981838226318,0
0.192,4.993981838226318,0
0.196,4.993981838226318,0
0.2,4.993981838226318,0
0.204,4.993981838226318,0
0.208,4.99398136138916,0
0.212,4.99398136138916,0
0.216,4.99398136138916,0
0.22,4.99398136138916,0
0.224,4.99398136138916,0
0.228,4.99398136138916,0
0.232,4.99398136138916,0
0.236,4.99398136138916,0
0.24,4.993980884552002,0
0.244,4.993980884552002,0
0.248,4.993980884552002,0
0.252,4.993980884552002,0
0.256,4.993980407714844,0
0.26,4.993980407714844,0
0.264,4.993980407714844,0
0.268,4.993980407714844,0
0.272,4.993980407714844,0
0.276,4.993980407714844,0
0.28,4.993980407714844,0
0.284,4.9939799308776855,0
0.288,4.9939799308776855,0
0.292,4.9939799308776855,0
0.296,4.993979454040527,0
0.3,4.993979454040527,0
0.304,4.993978977203369,0
0.308,4.993978977203369,0
0.312,4.993978500366211,0
0.316,4.993978500366211,0
0.32,4.993978023529053,0
0.324,0.011296152137219906,0
0.328,0.009152581915259361,0
0.332,0.00915240217000246,0
0.336,0.009152242913842201,0
0.34,0.00915207713842392,0
0.344,0.00915191974490881,0
0.348,0.009151767008006573,0
0.352,0.009151641279459,0
0.356,0.009151559323072433,0
0.36,0.009151495061814785,0
0.364,0.00915144756436348,0
0.368,0.009151415899395943,0
0.372,0.009151371195912361,0
0.376,0.009151329286396503,0
0.38,0.009151269681751728,0
0.384,0.009151180274784565,0
0.388,0.009151063859462738,0
0.392,0.009150934405624866,0
0.396,0.009150804951786995,0
0.4,0.009150675497949123,0
0.404,0.009150577709078789,0
0.408,0.009150534868240356,0
0.412,0.009150512516498566,0
0.416,0.009150496684014797,0
0.42,0.009150483645498753,0
0.424,0.009150472469627857,0
0.428,0.009150469675660133,0
0.432,0.009150446392595768,0
0.436,0.009150408208370209,0
0.44,0.009150327183306217,0
0.444,0.00915022473782301,0
0.448,0.009150136262178421,0
0.452,0.009150073863565922,0
0.456,0.00915004126727581,0
0.46,0.009150035679340363,0
0.464,0.00915005523711443,0
0.468,0.009150085039436817,0
0.472,0.00915011391043663,0
0.476,0.009150124154984951,0
0.48,0.009150081314146519,0
0.484,0.009149998426437378,0
0.488,0.009149887599050999,0
0.492,0.009149756282567978,0
0.496,0.009149649180471897,0
0.5,0.009149556048214436,0
0.504,0.009149489924311638,0
0.508,0.009149444289505482,0
0.512,0.009149421937763691,0
0.516,0.009149410989044643,0
0.52,0.009149402379989624,0
0.524,0.009149397723376751,0
0.528,0.009149396792054176,0
0.532,0.009149380959570408,0
0.536,0.009149348363280296,0
0.54,0.00914928037673235,0
0.544,0.009149201214313507,0
0.548,0.009149126708507538,0
0.552,0.009149058721959591,0
0.556,0.009149017743766308,0
0.56,0.009149008430540562,0
0.564,0.009149012409827927,0
0.568,0.009149030782282352,0
0.572,0.009149068966507912,0
0.576,0.0091490987688303,0
0.58,0.009149107150733471,0
0.584,0.00914910901337862,0
0.588,0.009149102494120598,0
0.592,0.009149067103862762,0
0.596,0.009149029850959778,0
0.6,0.009149005636572838,0
0.604,0.009149007499217987,0
0.608,0.009149031713604927,0
0.612,0.009149063378572464,0
0.616,0.009149120189249516,0
0.62,0.009149152785539627,0
0.624,0.00914916954934597,0
0.628,0.00914916954934597,0
0.632,0.009149144403636456,0
0.636,0.009149097837507725,0
0.64,0.009149030782282352,0
0.644,0.009148964658379555,0
0.648,0.009148922748863697,0
0.652,0.009148906916379929,0
0.656,0.00914890505373478,0
0.66,0.009148910641670227,0
0.664,0.009148938694923388,0
0.668,0.009148982353508472,0
0.672,0.00914903823286295,0
0.676,0.00914909690618515,0
0.68,0.009149138815701008,0
0.684,0.009149179793894291,0
0.688,0.009149199351668358,0
0.692,0.009149190038442612,0
0.696,0.009149190969765186,0
0.7,0.009149185381829739,0
0.704,0.00914919376373291,0
0.708,0.009149241261184216,0
0.712,0.009149300865828991,0
0.716,0.009149384684860706,0
0.72,0.009149470366537571,0
0.724,0.009149560704827309,0
0.728,0.00914963148534298,0
0.732,0.009149665012955666,0
0.736,0.009149689227342606,0
0.74,0.009149693883955479,0
0.744,0.009149674326181412,0
0.748,0.009149656631052494,0
0.752,0.009149659425020218,0
0.756,0.009149682708084583,0
